station,station_name,grid_lon,grid_lat,train_mae,test_mae,bctrain_mae,bctest_mae
TH000048569,"HAT YAI, TH",100.350403,6.949439,2.2524133102369173,2.3629121180189565,2.0645916964684847,2.031382819397223
TH000048568,"SONGKHLA, TH",100.576683,7.173999,4.948590631828092,5.2804611398963495,1.5207731932735071,1.5781921750225198
TH000048567,"TRANG, TH",99.671577,7.398449,4.026637004239265,4.324101018428689,2.1849784621172375,2.2322275550857937
TH000048567,"TRANG, TH",99.671577,7.622783999999999,4.11218285445123,4.327679146459729,2.335614768258906,2.3515968749820066
TH000048564,"PHUKET, TH",98.313911,7.847002000000001,5.6618115559599405,5.756324179707195,1.402868098561858,1.2332856254986502
TH000048565,"PHUKET AIRPORT, TH",98.313911,8.071099,5.052601389044448,5.301577001455582,1.4452838142403162,1.4763569245875827
TH000048552,"NAKHON SI THAMMARAT, TH",99.89785,8.518917,2.9372949195596805,2.828721843003396,2.0424161759223822,1.8997392692751247
TH000048551,"SURAT THANI, TH",99.21901700000001,9.189653999999999,2.342066423698714,2.3327934401602324,2.217706651789196,2.1384314632822035
TH000048550,"KO SAMUI, TH",100.12413000000001,9.412956,3.4457776166328533,4.5138541417165445,2.9946599968504275,2.4067082563979345
TH000048517,"CHUMPHON, TH",99.21901700000001,10.527236,2.525210367292977,2.6265276309466508,2.2942244959188076,2.335399747049337
TH000048500,"PRACHUAP KHIRI KHAN, TH",99.89785,11.859039,5.605113651255893,6.7176549549549325,1.5703881780587605,2.261047719224035
TH000048501,"KHLONG YAI, TH",102.83944699999999,11.859039,5.708443517640842,5.9001356171832295,1.5903501279202112,1.4421960432625107
TH000048475,"HUA HIN, TH",99.89785,12.522558,2.2868068179669003,2.3569337725719834,2.259616203584662,2.3488539342145796
TH000048480,"CHANTHABURI, TH",102.160622,12.522558,3.035633672042497,3.358723735224569,2.3220769023874457,2.3331724101111626
TH000048477,"SATTAHIP, TH",101.029236,12.743357000000001,2.330399581351083,2.9507421130220965,1.9421813888490058,2.0576164145624696
THW00041028,"U TAPAO RTNAS, TH",101.029236,12.743357000000001,,,,
TH000048459,"CHON BURI, TH",101.029236,13.404588,2.5995086427898095,2.7488753316953196,2.145252362095048,2.14632606124675
TH000048455,"BANGKOK METROPOLIS, TH",100.576683,13.624599,299.211810765058,304.0402627460168,14.079878190218897,14.542851357968589
THM00048453,"BANG NA AGROMET, TH",100.576683,13.624599,,,,
TH000048462,"ARANYAPRATHET, TH",102.613174,13.624599,302.30741889505776,306.9861128794848,19.36028768477377,18.409313298596867
TH000048455,"BANGKOK METROPOLIS, TH",100.576683,13.844404999999998,297.8531737934905,302.6469896907216,14.121210544894849,14.543271906296114
TH000048456,"DON MUANG, TH",100.576683,13.844404999999998,2.5447024986241,2.806885849802362,2.410280491400091,2.435722894472725
THW00041001,"DON MUANG, TH",100.576683,13.844404999999998,,,,
TH000048450,"KANCHANABURI, TH",99.445297,14.064004999999998,3.5345043887147236,3.6878305258033013,3.0146490055575845,3.236425696324625
TH000048430,"PRACHIN BURI, TH",101.255516,14.064004999999998,2.6942948826290958,3.393747951219495,2.208545731873304,2.393814670669886
TH000048430,"PRACHIN BURI, TH",101.481789,14.064004999999998,2.8631622347417713,3.5683191707316912,2.305084161251956,2.480396851382113
TH000048425,"SUPHAN BURI, TH",100.12413000000001,14.502567,2.6344373888363224,2.9433038480272673,2.456099135795154,2.60882631909092
TH000048426,"LOP BURI, TH",100.576683,14.721525,2.900329034385294,2.9862170025839685,2.525172969879495,2.6179641672295912
TH000048431,"NAKHON RATCHASIMA, TH",102.160622,14.940264,3.4991698855707374,3.6584829453681578,2.6530789536019346,2.7541942734108384
THW00041019,"NAKHON RATCHASIMA, TH",102.160622,14.940264,,,,
TH000048432,"SURIN, TH",103.51828,14.940264,3.320087748251735,3.3414345419847202,2.458728144374786,2.5330963488763145
THW00041012,"TA KHLI, TH",100.350403,15.158779999999998,,,,
TH000048407,"UBON RATCHATHANI, TH",104.87593799999999,15.158779999999998,3.198947087732058,3.5753686084142235,2.5001729799818673,2.541591978876303
THW00041017,"UBON RATCHATHANI, TH",104.87593799999999,15.158779999999998,,,,
THW00041012,"TA KHLI, TH",100.350403,15.377070000000002,,,,
TH000048400,"NAKHON SAWAN, TH",100.12413000000001,15.812963,3.0501557725654727,3.3051803759743126,2.5970420057701653,2.7259934203802874
TH000048405,"ROI ET, TH",103.74455999999999,16.030558,3.0401267778506407,3.396644081831454,2.6384954955148245,2.799587539935911
TH000048379,"PHETCHABUN, TH",101.029236,16.465035999999998,4.316174001883222,4.562609995307349,2.6938030483737117,2.755022403807658
TH000048379,"PHETCHABUN, TH",101.255516,16.465035999999998,4.640159039548005,4.954140872829639,2.7751074790698005,2.8629548087553394
TH000048381,"KHON KAEN, TH",102.83944699999999,16.465035999999998,3.4919501253831036,3.6943362010633036,2.81481312656137,2.9514332748108862
